longName,deployType,url
CEIP JOSEFA AMAR Y BORBÓN (Zaragoza),CEIP,josefaamaryborbon
CEIP San Jorge (Herrera de los Navarros),CEIP,ceipsanjorgeherrera
CEIP SAN ROQUE (Maria de Huerva),CEIP,ceipsanroque
CEIP ALFONSO I EL BATALLADOR (Tauste),CEIP,colegiopublicotauste
CEIP ANDRÉS OLIVÁN (San Juan de Mozarrifar),CEIP,ceipandresolivan
CEIP FRANCISCO GALIAY SARAÑANA (Ballobar),CEIP,ballobar
CEIP SAN MIGUEL (Tamarite de Litera),CEIP,sanmiguel
CEIP ARZOBISPO DOMÉNECH (Almonacid de la Sierra),CEIP,cpalmonacid
CEIP GUILLERMO FATÁS (Zaragoza),CEIP,guillermofatas
CEIP SAN JOSÉ DE CALASANZ (Zaragoza),CEIP,cpsjczaragoza
CEIP ZALFONADA (Zaragoza),CEIP,cpzalfonada
CEIP PÍO XII (Huesca),CEIP,ceippioxiihuesca
CEIP FLORIÁN REY (La Almunia de Doña Godina),CEIP,ceipflorianrey
CEIP PUERTA DE SANCHO (Zaragoza),CEIP,puertadesancho
CEIP VILLA DE UTRILLAS (Utrillas),CEIP,ceipvilladeutrillas
CEIP JULIÁN SANZ IBÁÑEZ (Zaragoza),CEIP,ceipjuliansanzibanez
CEIP Román García (Albalate del Arzobispo),CPI,ceipromangarcia
CEIP MAESTRO DON PEDRO ORÓS (Movera),CEIP,maestrodonpedrooros
CRA BÉCQUER (Novallas),CEIP,crabecquer
CEIP SAN NICASIO (Novillas),CEIP,ceipsannicasionovillas
CRA ALTO GÁLLEGO (Biescas),CEIP,craaltogallego
CEIP ANTONIO GARGALLO MOYA (Escucha),CEIP,ceipescucha2021
CEIP FERNANDO EL CATÓLICO (Quinto),CEIP,ceipfernandoelcatolicoquinto
CEIP BENEDICTO XIII (Illueca),CEIP,ceipbenedictoxiii
CEIP LA ALMOZARA (Zaragoza),CEIP,ceiplaalmozara
CPEPA CASA CANAL (Zaragoza),CPI,casacanal
CEIP VIRGEN DE LOS RÍOS (Caldearenas),CEIP,cpcaldearenas
CEIP MIRAFLORES (Zaragoza),CEIP,ceipmiraflores
CEIP MIGUEL SERVET (Villanueva de Sigena),CEIP,cpvillanuevas
CEIP JERÓNIMO ZURITA Y CASTRO (Zaragoza),CEIP,ceipzurita
CEIP PUENTE SARDAS (Sabiñanigo),CEIP,ceippuentesardas
CEIP ANGEL ESCORIAZA (ZARAGOZA,CEIP,angelescoriaza
CEIP MONCAYO (Tarazona),CEIP,ceipmoncayo
CEIP ARAGÓN (Monzon),CEIP,colegioaragon20
CRA FABARA-NONASPE DOS AGUAS (Fabara),CEIP,crafabaranonaspedosaguas
CRA BAJO MARTÍN (La Puebla de Hijar),CEIP,crabajomartin
EOI RÍO VERO (Barbastro),VACIO,eoibarbastro
CEIP SAN JUAN DE LA PEÑA (Jaca),CEIP,ceipsjp
CEIP JOAQUÍN COSTA (Zaragoza),CEIP,joaquincostazaragoza
CRA TURIA (San Blas),CEIP,craturia
CEIP LUCIO FABIO SEVERO (Chiprana),CEIP,cpchiprana
CEIP GLORIA ARENILLAS (Zaragoza),CEIP,garenillas
CPRI-INFPRI MINTE (Monzon),CEIP,minte
CP Remolinos,CEIP,cpremolinos
CEIP SANTO DOMINGO (Zaragoza),CEIP,cpsdozaragoza
CEIP MARÍA ZAMBRANO (Zaragoza),CEIP,ceipmariazambrano
IES RAMÓN PIGNATELLI (Zaragoza),IES,iespignatelli
CRA MARIA MOLINER El Burgo de Ebro,CEIP,cramariamoliner
CEIP PINTOR PRADILLA (Villanueva de Gallego),CEIP,pintorpradilla
CEIP JOAQUÍN COSTA (Graus),CEIP,joaquincostagraus
